Student_ID,Gender,Age,Department,CGPA,Tenth_Percentage,Twelfth_Percentage,Degree_Percentage,Projects,Internships,Certifications,Coding_Skill,Communication,Aptitude,English,Leadership,Teamwork,Hackathons,Backlogs,Placement
1,Male,20,CIVIL,6.71,69,63,61,5,0,6,1,1,45,4,4,9,4,0,No
2,Male,25,CIVIL,8.59,81,69,83,4,2,0,3,7,61,5,3,4,2,0,Yes
3,Male,23,CSE,7.08,77,93,71,6,0,7,9,2,99,7,2,9,2,5,Yes
4,Female,24,IT,8.6,57,97,69,6,2,1,4,2,64,5,8,6,1,2,Yes
5,Female,21,CIVIL,6.67,98,96,59,4,1,8,4,3,69,7,5,9,1,5,No
6,Female,20,IT,9.12,75,80,72,0,1,5,4,8,65,8,3,5,1,1,Yes
7,Female,25,MECH,7.39,92,80,78,1,1,8,8,2,88,1,2,3,5,1,Yes
8,Female,24,CSE,7.19,93,84,88,2,0,1,9,5,89,6,2,5,3,1,Yes
9,Female,20,CIVIL,9.35,71,87,66,4,0,4,9,10,52,3,6,3,4,4,Yes
10,Male,24,ECE,7.65,62,78,74,1,0,3,10,2,45,8,2,9,1,1,Yes
11,Female,24,IT,6.67,93,82,68,4,1,4,7,6,68,9,8,2,1,1,Yes
12,Male,22,CSE,8.09,69,92,69,0,0,0,4,2,97,1,6,2,4,1,No
13,Female,25,EEE,6.44,63,91,91,3,1,7,7,4,46,2,7,6,3,3,No
14,Female,25,CSE,8.46,96,61,58,3,2,1,4,4,52,9,8,3,3,1,Yes
15,Female,23,IT,9.35,59,83,90,0,0,8,1,2,99,4,3,7,3,3,No
16,Male,23,CSE,6.22,55,79,71,6,3,4,7,9,82,8,3,4,2,1,Yes
17,Male,24,CIVIL,7.89,75,58,58,4,3,8,9,3,43,9,2,3,0,4,Yes
18,Male,25,IT,7.28,91,70,92,4,0,1,7,10,76,9,6,5,1,5,No
19,Female,21,ECE,7.24,97,96,74,3,2,1,1,8,79,10,2,2,4,1,Yes
20,Female,21,ECE,9.38,70,78,73,1,3,8,5,10,91,9,1,9,2,5,Yes
21,Male,21,ECE,6.01,61,90,64,2,2,3,6,4,83,5,9,8,2,0,Yes
22,Male,25,EEE,9.15,57,55,76,6,1,4,3,8,75,7,9,1,0,0,Yes
23,Male,24,CSE,9.17,92,90,64,3,1,0,5,6,97,1,6,4,5,1,Yes
24,Male,22,MECH,9.39,81,94,64,1,1,2,7,1,51,6,7,4,2,1,Yes
25,Male,23,CSE,9.28,69,67,84,2,2,3,4,1,82,4,7,6,2,0,Yes
26,Female,22,CIVIL,7.74,98,89,76,0,0,4,3,10,56,1,2,10,3,2,No
27,Female,23,MECH,9.83,62,79,91,1,2,0,7,1,73,9,4,6,3,0,Yes
28,Female,24,ECE,8.42,62,74,87,2,3,5,7,5,75,3,4,7,5,3,Yes
29,Male,24,MECH,6.82,90,55,74,2,1,6,10,10,81,6,8,8,3,5,Yes
30,Male,24,EEE,8.99,65,97,60,2,2,1,4,5,54,4,3,1,0,1,Yes
31,Female,24,CSE,7.5,95,91,67,5,3,7,7,4,49,1,2,7,1,1,Yes
32,Female,20,MECH,6.6,62,84,63,6,3,8,9,10,60,8,10,9,3,4,Yes
33,Female,21,CIVIL,9.29,83,71,70,6,2,8,8,4,57,8,2,5,1,2,Yes
34,Female,22,MECH,5.85,64,69,79,5,1,3,2,7,66,6,9,8,3,0,Yes
35,Male,23,EEE,9.48,92,99,56,6,3,7,1,6,59,7,7,9,5,5,Yes
36,Male,23,IT,6.7,86,56,79,2,3,2,8,3,79,9,1,7,4,4,Yes
37,Male,20,CIVIL,7.39,84,66,58,2,3,5,4,8,60,6,7,5,3,2,Yes
38,Male,23,CSE,8.8,58,77,69,5,0,0,1,4,52,1,10,3,1,1,No
39,Female,25,CSE,7.98,68,84,71,6,2,2,10,10,87,2,3,5,0,4,Yes
40,Male,22,MECH,8.48,79,80,67,0,1,1,5,10,91,2,10,1,2,4,No
41,Female,25,ECE,5.8,96,76,55,6,3,7,2,7,63,8,3,7,1,5,Yes
42,Female,24,MECH,8.91,84,82,92,2,2,3,2,5,96,8,4,8,4,4,Yes
43,Female,22,CSE,7.67,75,66,86,1,2,4,6,5,96,10,5,9,0,4,Yes
44,Male,20,IT,8.67,86,90,70,5,3,7,8,1,45,5,4,7,5,1,Yes
45,Female,25,MECH,7.12,90,88,77,3,2,5,8,5,59,5,4,2,5,1,Yes
46,Female,20,CIVIL,7.86,99,66,67,1,3,4,10,9,78,5,2,4,2,1,Yes
47,Female,21,ECE,5.56,89,63,72,0,0,8,5,3,80,8,2,1,4,2,No
48,Female,23,EEE,7.0,58,71,85,0,0,6,8,2,76,1,3,3,4,2,No
